LearningRate,AvgDice,AvgIoU,AvgMSE
1e-05,0.15473210089359668,0.08406533112590195,0.20324525999996917
5e-05,0.17589602417040814,0.09671901879914978,0.2174828792709151
0.0001,0.19343169188939596,0.10745286985776031,0.15306953860199268
0.0005,0.2695224471896747,0.15674638469561683,0.07068364952806554
0.001,0.38603289608185015,0.24015086313226394,0.022396110577259237
0.005,0.4362833387316447,0.28505803617033126,0.013931796848489893
0.01,0.4153159922428495,0.26553647436616307,0.019313986053536108
0.0002,0.20698197338572435,0.1159087811816783,0.13832048304005645
0.0003,0.2219172077449149,0.12539419056025047,0.11345296731312031
0.0004,0.19868177193742975,0.11070494402777172,0.09326431118682318
0.0006,0.21655287126957026,0.12195475356453238,0.10316741435275228
0.0008,0.3305066212521302,0.1995378959131701,0.03651151072623488
0.002,0.37531387880190487,0.23257175108605,0.024590111579056138
0.003,0.43270076664575474,0.2798469972066311,0.01606505439963703
0.004,0.43012158996911454,0.28029863391045434,0.013969245513856476
0.006,0.4236617165321452,0.27152944732544654,0.01782942992434198
0.008,0.18573501808996826,0.10695813670632572,0.010801267589509389
